City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,seoul,37.5683,126.9778,-4.31,64,0,1.03,KR,1675453571
260,abaza,52.655,90.0928,-12.95,98,100,0.03,RU,1675453635
261,itarema,-2.9248,-39.9167,27.72,73,55,6.54,BR,1675453546
262,tilichiki,60.4667,166.1,-22.69,97,65,4.17,RU,1675453637
263,kiama,-34.6833,150.8667,17.22,59,0,4.47,AU,1675453639
264,kingsport,36.5484,-82.5618,4.86,42,40,6.17,US,1675453640
265,lahaina,20.8783,-156.6825,26.64,81,92,2.85,US,1675453393
266,okhotsk,59.3833,143.3,-25.33,85,30,5.19,RU,1675453644
267,husavik,66.0449,-17.3389,1.67,82,100,7.07,IS,1675453648
268,vitim,59.4511,112.5578,-14.41,98,100,0.75,RU,1675453650
269,el retorno,2.3302,-72.6276,35.21,28,94,2.27,CO,1675453652
270,hurghada,27.2574,33.8129,15.02,36,0,3.6,EG,1675453653
271,vrede,-27.4257,29.1659,14.88,86,59,3.46,ZA,1675453654
272,kamaishi,39.2667,141.8833,-2.82,71,78,2.05,JP,1675453655
273,ocampo,21.65,-101.5,15.93,35,5,7.4,MX,1675453656
274,varzelandia,-15.7014,-44.0275,27.33,65,100,0.98,BR,1675453656
275,praia da vitoria,38.7333,-27.0667,16.53,88,40,5.74,PT,1675453656
276,neryungri,56.6709,124.6491,-23.88,97,100,1.25,RU,1675453658
277,bubaque,11.2833,-15.8333,25.54,76,92,5.99,GW,1675453658
278,tautira,-17.7333,-149.15,27.21,79,100,7.85,PF,1675453658
279,lodja,-3.4833,23.4333,21.25,91,89,0.68,CD,1675453659
280,maputo,-25.9653,32.5892,25.82,78,75,7.2,MZ,1675453659
281,aklavik,68.2191,-135.0107,-37.0,67,75,1.03,CA,1675453659
282,saint-philippe,-21.3585,55.7679,25.77,87,100,4.87,RE,1675453660
283,sri aman,1.2376,111.4621,24.03,94,100,0.0,MY,1675453660
284,nchelenge,-9.3451,28.734,20.1,87,100,1.33,ZM,1675453661
285,ambunti,-4.2365,142.8448,23.0,99,100,0.69,PG,1675453661
286,victoria,22.2855,114.1577,18.03,85,94,4.47,HK,1675453547
287,gimli,50.6336,-96.9907,-20.99,65,100,9.26,CA,1675453661
288,fortuna,40.5982,-124.1573,14.96,72,40,7.72,US,1675453662
289,celestun,20.8667,-90.4,25.42,72,22,8.18,MX,1675453662
290,esik,43.3552,77.4525,-4.32,82,100,1.91,KZ,1675453663
291,san angelo,31.4638,-100.437,11.05,47,0,1.34,US,1675453663
292,mazagao,-0.115,-51.2894,31.03,88,89,2.08,BR,1675453663
293,paamiut,61.994,-49.6678,-10.92,90,100,5.14,GL,1675453664
294,west bay,19.3667,-81.4167,28.04,77,75,4.12,KY,1675453664
295,hofn,64.2539,-15.2082,7.46,85,100,12.12,IS,1675453665
296,coruripe,-10.1256,-36.1756,28.09,61,53,5.6,BR,1675453665
297,mayya,61.7333,130.2811,-35.38,98,100,2.06,RU,1675453666
298,umm lajj,25.0213,37.2685,20.33,47,0,3.77,SA,1675453666
299,bonavista,48.6499,-53.1147,-0.56,96,100,18.25,CA,1675453667
300,vardo,70.3705,31.1107,-5.01,74,75,4.63,NO,1675453546
301,norman wells,65.282,-126.8329,-33.98,68,75,1.03,CA,1675453667
302,atasu,48.6814,71.6433,-3.74,97,100,1.52,KZ,1675453668
303,ontario,34.0633,-117.6509,21.35,29,75,1.79,US,1675453537
304,kununurra,-15.7667,128.7333,25.99,83,89,0.0,AU,1675453668
305,wukari,7.85,9.7833,30.16,15,40,2.92,NG,1675453669
306,port elizabeth,-33.918,25.5701,22.95,90,75,4.63,ZA,1675453669
307,margate,51.3813,1.3862,9.93,81,12,2.68,GB,1675453669
308,tomatlan,19.9333,-105.25,32.93,29,0,4.24,MX,1675453670
309,dasoguz,41.8363,59.9666,-0.03,100,100,5.14,TM,1675453670
310,sinnar,13.5691,33.5672,24.6,21,3,5.79,SD,1675453671
311,hays,30.0502,-98.0336,11.23,80,0,1.79,US,1675453671
312,menongue,-14.6585,17.691,18.46,89,99,1.66,AO,1675453672
313,shu,43.5983,73.7614,-0.45,97,100,1.06,KZ,1675453673
314,havre-saint-pierre,50.2334,-63.5986,-15.0,78,100,10.29,CA,1675453673
315,kuznetsk,53.1167,46.6004,-3.92,89,100,0.84,RU,1675453674
316,neiafu,-18.65,-173.9833,27.38,83,75,3.09,TO,1675453674
317,aswan,24.0934,32.907,17.61,25,0,2.57,EG,1675453675
318,lompoc,34.6391,-120.4579,20.01,48,75,2.24,US,1675453675
319,zabaykalsk,49.6333,117.3167,-22.71,98,96,2.24,RU,1675453675
320,sept-iles,50.2001,-66.3821,-24.0,74,75,11.32,CA,1675453676
321,vanavara,60.34,102.2797,-25.93,100,78,1.43,RU,1675453676
322,korla,41.7597,86.1469,-4.03,65,46,0.82,CN,1675453676
323,wajir,1.7471,40.0573,30.44,29,93,3.61,KE,1675453677
324,kargasok,59.0556,80.8572,-14.38,98,100,1.05,RU,1675453677
325,pangody,65.85,74.4859,-14.85,94,96,3.26,RU,1675453678
326,porto walter,-8.2686,-72.7439,28.13,61,100,0.89,BR,1675453678
327,chimbote,-9.0853,-78.5783,24.41,72,100,4.47,PE,1675453678
328,beringovskiy,63.05,179.3167,-24.64,95,97,6.12,RU,1675453679
329,indian head,38.6001,-77.1622,1.37,29,0,7.72,US,1675453679
330,oranjemund,-28.55,16.4333,16.72,93,1,3.88,NA,1675453679
331,sola,-13.8833,167.55,28.03,72,43,2.01,VU,1675453680
332,port macquarie,-31.4333,152.9167,19.94,49,0,6.33,AU,1675453607
333,ahipara,-35.1667,173.1667,20.53,90,100,2.97,NZ,1675453680
334,laukaa,58.7372,29.8453,-6.59,95,100,2.52,RU,1675453681
335,touros,-5.1989,-35.4608,28.18,66,38,6.41,BR,1675453644
336,ekhabi,53.5102,142.9671,-25.43,96,100,5.18,RU,1675453681
337,morros,-9.4467,-46.3003,28.63,60,95,1.66,BR,1675453682
338,gallup,35.5281,-108.7426,5.91,39,0,2.06,US,1675453684
339,ust-uda,54.1742,103.0304,-15.81,98,100,0.85,RU,1675453686
340,pedernales,18.0384,-71.744,28.2,57,35,2.3,DO,1675453689
341,fenyi,27.8112,114.6681,6.02,94,100,0.92,CN,1675453690
342,mayo,38.8876,-76.5119,0.1,32,0,11.32,US,1675453694
343,port lincoln,-34.7333,135.8667,14.55,72,38,3.26,AU,1675453695
344,kitimat,54.0524,-128.6534,2.21,100,100,0.57,CA,1675453524
345,wahiawa,21.5028,-158.0236,24.33,78,100,3.09,US,1675453697
346,niquelandia,-14.4739,-48.4597,26.47,79,100,2.56,BR,1675453697
347,katsuura,35.1333,140.3,6.78,80,100,3.76,JP,1675453699
348,esperance,-33.8667,121.9,15.73,80,92,4.08,AU,1675453700
349,gat,31.61,34.7642,11.89,100,17,1.92,IL,1675453701
350,vestmanna,62.1564,-7.1664,7.51,100,100,7.72,FO,1675453702
351,timmins,48.4669,-81.3331,-29.1,57,100,7.2,CA,1675453703
352,hokitika,-42.7167,170.9667,19.23,90,100,1.63,NZ,1675453705
353,cidreira,-30.1811,-50.2056,25.32,82,100,2.27,BR,1675453706
354,san quintin,30.4833,-115.95,18.12,38,100,3.3,MX,1675453710
355,san carlos de bariloche,-41.1456,-71.3082,31.86,11,0,4.63,AR,1675453712
356,ixtapa,20.7,-105.2,32.08,30,1,3.93,MX,1675453713
357,nanchong,30.7951,106.0847,12.07,65,100,1.67,CN,1675453713
358,bereda,43.2686,-7.5406,1.75,100,0,0.63,ES,1675453714
359,liwale,-9.7667,37.9333,21.55,96,100,0.04,TZ,1675453714
360,eydhafushi,5.1033,73.0708,26.75,73,100,4.97,MV,1675453715
361,ostersund,63.1792,14.6357,-7.75,100,100,0.51,SE,1675453715
362,les cayes,18.2,-73.75,27.9,58,41,5.08,HT,1675453716
